date,close,SECID
2017-09-29,160.0,ABRD
2017-10-02,175.0,ABRD
2017-10-03,177.0,ABRD
2017-10-04,175.0,ABRD
2017-10-05,165.0,ABRD
2017-10-06,167.0,ABRD
2017-10-09,,ABRD
2017-10-10,161.5,ABRD
2017-10-11,163.0,ABRD
2017-10-12,,ABRD
2017-10-13,168.0,ABRD
2017-10-16,164.0,ABRD
2017-10-17,160.0,ABRD
2017-10-18,160.0,ABRD
2017-10-19,168.0,ABRD
2017-10-20,160.0,ABRD
2017-10-23,160.0,ABRD
2017-10-24,160.0,ABRD
2017-10-25,160.0,ABRD
2017-10-26,,ABRD
2017-10-27,160.0,ABRD
2017-10-30,162.0,ABRD
2017-10-31,160.0,ABRD
2017-11-01,,ABRD
2017-11-02,,ABRD
2017-11-03,,ABRD
2017-11-07,158.0,ABRD
2017-11-08,158.0,ABRD
2017-11-09,155.5,ABRD
2017-11-10,155.5,ABRD
2017-11-13,154.0,ABRD
2017-11-14,154.0,ABRD
2017-11-15,,ABRD
2017-11-16,150.5,ABRD
2017-11-17,154.0,ABRD
2017-11-20,142.0,ABRD
2017-11-21,148.0,ABRD
2017-11-22,142.0,ABRD
2017-11-23,142.0,ABRD
2017-11-24,,ABRD
2017-11-27,149.5,ABRD
2017-11-28,,ABRD
2017-11-29,149.5,ABRD
2017-11-30,,ABRD
2017-12-01,149.0,ABRD
2017-12-04,,ABRD
2017-12-05,,ABRD
2017-12-06,154.0,ABRD
2017-12-07,153.5,ABRD
2017-12-08,,ABRD
2017-12-11,151.0,ABRD
2017-12-12,,ABRD
2017-12-13,,ABRD
2017-12-14,,ABRD
2017-12-15,,ABRD
2017-12-18,,ABRD
2017-12-19,155.0,ABRD
2017-12-20,158.5,ABRD
2017-12-21,155.0,ABRD
2017-12-22,150.5,ABRD
2017-12-25,150.0,ABRD
2017-12-26,,ABRD
2017-12-27,146.0,ABRD
2017-12-28,,ABRD
2017-12-29,,ABRD
2018-01-03,139.0,ABRD
2018-01-04,140.0,ABRD
2018-01-05,,ABRD
2018-01-09,140.5,ABRD
2018-01-10,141.0,ABRD
2018-01-11,145.5,ABRD
2018-01-12,140.0,ABRD
2018-01-15,139.0,ABRD
2018-01-16,139.0,ABRD
2018-01-17,141.5,ABRD
2018-01-18,140.5,ABRD
2018-01-19,140.5,ABRD
2018-01-22,140.0,ABRD
2018-01-23,142.5,ABRD
2018-01-24,,ABRD
2018-01-25,,ABRD
2018-01-26,,ABRD
2018-01-29,,ABRD
2018-01-30,,ABRD
2018-01-31,139.0,ABRD
2018-02-01,,ABRD
2018-02-02,138.0,ABRD
2018-02-05,,ABRD
2018-02-06,136.0,ABRD
2018-02-07,,ABRD
2018-02-08,135.5,ABRD
2018-02-09,142.0,ABRD
2018-02-12,134.5,ABRD
2018-02-13,140.0,ABRD
2018-02-14,146.0,ABRD
2018-02-15,,ABRD
2018-02-16,139.0,ABRD
2018-02-19,140.0,ABRD
2018-02-20,140.0,ABRD
2018-02-21,,ABRD
2018-02-22,,ABRD
2018-02-26,,ABRD
2018-02-27,144.5,ABRD
2018-02-28,147.0,ABRD
2018-03-01,,ABRD
2018-03-02,150.0,ABRD
2018-03-05,155.5,ABRD
2018-03-06,154.5,ABRD
2018-03-07,145.5,ABRD
2018-03-09,,ABRD
2018-03-12,145.5,ABRD
2018-03-13,145.0,ABRD
2018-03-14,,ABRD
2018-03-15,,ABRD
2018-03-16,144.0,ABRD
2018-03-19,143.5,ABRD
2018-03-20,,ABRD
2018-03-21,143.5,ABRD
2018-03-22,144.0,ABRD
2018-03-23,145.0,ABRD
2018-03-26,153.5,ABRD
2018-03-27,,ABRD
2018-03-28,,ABRD
2018-03-29,,ABRD
2018-03-30,,ABRD
2018-04-02,142.0,ABRD
2018-04-03,149.0,ABRD
2018-04-04,153.5,ABRD
2018-04-05,,ABRD
2018-04-06,149.5,ABRD
2018-04-09,140.0,ABRD
2018-04-10,,ABRD
2018-04-11,,ABRD
2018-04-12,,ABRD
2018-04-13,143.5,ABRD
2018-04-16,,ABRD
2018-04-17,143.5,ABRD
2018-04-18,143.5,ABRD
2018-04-19,143.5,ABRD
2018-04-20,138.0,ABRD
2018-04-23,,ABRD
2018-04-24,,ABRD
2018-04-25,147.5,ABRD
2018-04-26,,ABRD
2018-04-27,,ABRD
2018-04-28,,ABRD
2018-04-30,,ABRD
2018-05-02,,ABRD
2018-05-03,,ABRD
2018-05-04,148.5,ABRD
2018-05-07,139.0,ABRD
2018-05-08,148.0,ABRD
2018-05-10,,ABRD
2018-05-11,,ABRD
2018-05-14,142.5,ABRD
2018-05-15,143.5,ABRD
2018-05-16,,ABRD
2018-05-17,,ABRD
2018-05-18,,ABRD
2018-05-21,,ABRD
2018-05-22,147.0,ABRD
2018-05-23,,ABRD
2018-05-24,140.0,ABRD
2018-05-25,148.5,ABRD
2018-05-28,140.0,ABRD
2018-05-29,139.5,ABRD
2018-05-30,,ABRD
2018-05-31,138.0,ABRD
